0 0   0.563585 0.808741 
7 13   0.465835 0.112186 
7 14   0.821223 0.108676 
7 15   0.761376 0.416669 
7 16   0.0677511 0.21128 
7 17   0.591113 0.618274 
7 18   0.690298 0.915647 
7 19   0.298502 0.378185 
7 20   0.772515 0.170568 
7 21   0.181219 0.195624 
7 22   0.190252 0.303995 
7 23   0.198157 0.771172 
7 24   0.881039 0.448622 
7 25   0.801538 0.494858 
7 26   0.238502 0.0927458 
7 27   0.893826 0.0596332 
7 28   0.632038 0.756066 
7 29   0.909909 0.199622 
8 0   0.0512406 0.790368 
8 1   0.0240486 0.553362 
8 2   0.875546 0.305429 
8 3   0.481887 0.651967 
8 4   0.768578 0.219733 
8 5   0.0575274 0.0326853 
8 6   0.697867 0.436262 
8 7   0.635548 0.476974 
8 8   0.0792871 0.143223 
8 9   0.917997 0.373821 
8 10   0.0466323 0.239998 
8 11   0.256508 0.208014 
8 12   0.846156 0.887692 
8 13   0.609272 0.173528 
8 14   0.355907 0.185064 
8 15   0.623035 0.911679 
8 16   0.730644 0.969329 
8 17   0.840205 0.374401 
8 18   0.170965 0.741813 
8 19   0.0308847 0.812708 
8 20   0.818171 0.718894 
8 21   0.649831 0.889676 
8 22   0.773492 0.00756859 
8 23   0.41847 0.919034 
8 24   0.242866 0.906522 
8 25   0.0321055 0.228248 
8 26   0.806391 0.331614 
8 27   0.991791 0.64687 
8 28   0.812799 0.366894 
8 29   0.561296 0.119785 
9 0   0.899014 0.940184 
9 1   0.84933 0.44557 
9 2   0.634754 0.624042 
9 3   0.01648 0.139622 
9 4   0.291971 0.561449 
9 5   0.607227 0.422712 
9 6   0.739463 0.516526 
9 7   0.00698874 0.333872 
9 8   0.462264 0.0505081 
9 9   0.0241707 0.969085 
9 10   0.706381 0.822352 
9 11   0.597217 0.844234 
9 12   0.748161 0.0144963 
9 13   0.626484 0.383618 
9 14   0.288827 0.883877 
9 15   0.931547 0.533128 
9 16   0.974242 0.437422 
9 17   0.332957 0.49855 
9 18   0.0390027 0.233039 
9 19   0.859523 0.608814 
9 20   0.0764489 0.305307 
9 21   0.0800501 0.30427 
9 22   0.93289 0.216224 
9 23   0.560717 0.250069 
9 24   0.727134 0.231086 
9 25   0.446791 0.574328 
9 26   0.995239 0.61919 
9 27   0.169836 0.231483 
9 28   0.959807 0.0796228 
9 29   0.279733 0.490555 
10 0   0.924711 0.292154 
10 1   0.401654 0.548357 
10 2   0.794427 0.592853 
10 3   0.318064 0.267922 
10 4   0.718772 0.774895 
10 5   0.175909 0.0416272 
10 6   0.8623 0.0144658 
10 7   0.818537 0.779656 
10 8   0.298746 0.921506 
10 9   0.242622 0.023011 
10 10   0.0308847 0.715323 
10 11   0.180425 0.182104 
10 12   0.134739 0.52562 
10 13   0.806726 0.899869 
10 14   0.0292367 0.818079 
10 15   0.570696 0.539933 
10 16   0.870754 0.94528 
10 17   0.153233 0.800256 
10 18   0.072512 0.822413 
10 19   0.548784 0.450941 
10 20   0.949461 0.72805 
10 21   0.272378 0.197943 
10 22   0.48735 0.229926 
10 23   0.691794 0.671133 
10 24   0.237526 0.235817 
10 25   0.484359 0.537492 
10 26   0.336528 0.169225 
10 27   0.219275 0.739677 
10 28   0.650441 0.270089 
10 29   0.0644246 0.859066 
11 0   0.0443739 0.0207831 
11 1   0.618519 0.604053 
11 2   0.777367 0.696738 
11 3   0.868007 0.423505 
11 4   0.021424 0.0421461 
11 5   0.269265 0.24485 
11 6   0.506455 0.0710166 
11 7   0.955535 0.337474 
11 8   0.289529 0.992706 
11 9   0.0689108 0.300913 
11 10   0.649617 0.262764 
11 11   0.217536 0.178259 
11 12   0.106906 0.758843 
11 13   0.0574053 0.694296 
11 14   0.567583 0.0812098 
11 15   0.999664 0.618854 
11 16   0.593127 0.978881 
11 17   0.0422987 0.255135 
11 18   0.794946 0.900052 
11 19   0.727561 0.0529496 
11 20   0.353984 0.668111 
11 21   0.22364 0.346965 
11 22   0.66512 0.282357 
11 23   0.531999 0.219977 
11 24   0.106723 0.843806 
11 25   0.819147 0.491348 
11 26   0.935331 0.605823 
11 27   0.873836 0.830103 
11 28   0.30488 0.150121 
11 29   0.689047 0.993194 
12 0   0.411603 0.687429 
12 1   0.169012 0.189001 
12 2   0.763298 0.48323 
12 3   0.961241 0.565477 
12 4   0.573901 0.408704 
12 5   0.413495 0.823359 
12 6   0.28312 0.61626 
12 7   0.656056 0.954497 
12 8   0.200873 0.340556 
12 9   0.808405 0.105258 
12 10   0.276864 0.824244 
12 11   0.311533 0.564684 
12 12   0.995117 0.36848 
12 13   0.384869 0.877743 
12 14   0.393384 0.50914 
12 15   0.608295 0.0836512 
12 16   0.207923 0.31727 
12 17   0.629139 0.0793176 
12 18   0.142827 0.824976 
12 19   0.994415 0.107334 
12 20   0.264595 0.57625 
12 21   0.107517 0.369427 
12 22   0.521714 0.302622 
12 23   0.310617 0.764733 
12 24   0.389111 0.724174 
12 25   0.0914029 0.753075 
12 26   0.637806 0.475021 
12 27   0.415296 0.34312 
12 28   0.229316 0.154271 
12 29   0.182287 0.205939 
13 0   0.335276 0.501907 
13 1   0.809259 0.912992 
13 2   0.481918 0.69924 
13 3   0.936705 0.299539 
13 4   0.819636 0.795068 
13 5   0.260964 0.952971 
13 6   0.517441 0.256172 
13 7   0.491256 0.825983 
13 8   0.282632 0.643269 
13 9   0.431532 0.974975 
13 10   0.00518815 0.411664 
13 11   0.187658 0.423139 
13 12   0.527421 0.837184 
13 13   0.499496 0.148991 
13 14   0.538377 0.066744 
13 15   0.197729 0.19953 
13 16   0.593493 0.294382 
13 17   0.786126 0.928434 
13 18   0.25898 0.0618915 
13 19   0.14832 0.359416 
13 20   0.381573 0.684561 
13 21   0.380108 0.674642 
13 22   0.482833 0.802057 
13 23   0.74633 0.827784 
13 24   0.278787 0.0541398 
13 25   0.762902 0.282388 
13 26   0.324564 0.881619 
13 27   0.403821 0.875271 
13 28   0.783654 0.451704 
13 29   0.433332 0.804559 
14 0   0.322672 0.709403 
14 1   0.86288 0.743217 
14 2   0.130833 0.55269 
14 3   0.533006 0.0771813 
14 4   0.0644551 0.133702 
14 5   0.820643 0.268715 
14 6   0.916532 0.284433 
14 7   0.470931 0.344646 
14 8   0.811121 0.0673238 
14 9   0.554399 0.509568 
14 10   0.723106 0.451308 
14 11   0.548845 0.884365 
14 12   0.122532 0.11243 
14 13   0.546464 0.369182 
14 14   0.744346 0.359661 
14 15   0.585925 0.632038 
14 16   0.482589 0.185705 
14 17   0.109256 0.221778 
14 18   0.410291 0.442732 
14 19   0.544053 0.806635 
14 20   0.923826 0.143223 
14 21   0.0102847 0.537248 
14 22   0.0123905 0.885708 
14 23   0.152593 0.535203 
14 24   0.65273 0.40556 
14 25   0.0970794 0.506119 
14 26   0.32841 0.250771 
14 27   0.533525 0.478072 
14 28   0.674581 0.582751 
14 29   0.9223 0.664724 
15 0   0.247383 0.102023 
15 1   0.826441 0.453749 
15 2   0.4185 0.0992157 
15 3   0.368633 0.520035 
15 4   0.394696 0.630604 
15 5   0.81341 0.0639363 
15 6   0.362377 0.818964 
15 7   0.273934 0.174718 
15 8   0.757103 0.279427 
15 9   0.544206 0.318613 
15 10   0.65804 0.670248 
15 11   0.056032 0.952239 
15 12   0.307627 0.368542 
15 13   0.961119 0.260811 
15 14   0.756035 0.271004 
15 15   0.337901 0.0215766 
15 16   0.630696 0.719871 
15 17   0.523942 0.591937 
15 18   0.0307932 0.553484 
15 19   0.572588 0.0226447 
15 20   0.546953 0.282235 
15 21   0.835231 0.296457 
15 22   0.405591 0.389386 
15 23   0.668203 0.690939 
15 24   0.738517 0.756584 
15 25   0.264931 0.267129 
15 26   0.977477 0.214911 
15 27   0.612903 0.48262 
15 28   0.373669 0.220618 
15 29   0.575701 0.929899 
16 0   0.642323 0.655751 
16 1   0.0999786 0.199591 
16 2   0.732139 0.754112 
16 3   0.547655 0.868862 
16 4   0.719901 0.151921 
16 5   0.152776 0.61449 
16 6   0.829981 0.0637226 
16 7   0.603626 0.451369 
16 8   0.578784 0.583056 
16 9   0.749748 0.095645 
16 10   0.0444655 0.108188 
16 11   0.433912 0.453017 
16 12   0.26133 0.893094 
16 13   0.449324 0.232063 
16 14   0.739372 0.723045 
16 15   0.621448 0.682485 
16 16   0.108798 0.715506 
16 17   0.0151067 0.458449 
16 18   0.889645 0.245827 
16 19   0.266671 0.606769 
16 20   0.386181 0.998169 
16 21   0.0408338 0.680258 
16 22   0.706626 0.141087 
16 23   0.612751 0.976012 
16 24   0.907407 0.628498 
16 25   0.575152 0.898618 
16 26   0.262947 0.625294 
16 27   0.670278 0.448531 
16 28   0.660115 0.0582293 
16 29   0.74691 0.835353 
17 0   0.117649 0.291787 
17 1   0.842494 0.215918 
17 2   0.430891 0.928739 
17 3   0.389996 0.55797 
17 4   0.941069 0.736045 
17 5   0.550188 0.627979 
17 6   0.430036 0.695669 
17 7   0.668386 0.10474 
17 8   0.139775 0.180273 
17 9   0.856777 0.817591 
17 10   0.916807 0.254189 
17 11   0.701132 0.109592 
17 12   0.481796 0.0988495 
17 13   0.093173 0.325968 
17 14   0.824152 0.563952 
17 15   0.187353 0.427198 
17 16   0.721427 0.842952 
17 17   0.482986 0.7275 
17 18   0.383953 0.273995 
17 19   0.0312204 0.757897 
17 20   0.224281 0.265725 
17 21   0.767266 0.254707 
17 22   0.751885 0.347911 
17 23   0.967132 0.272683 
17 24   0.592364 0.347362 
17 25   0.829768 0.423414 
17 26   0.632405 0.688681 
17 27   0.184271 0.23838 
17 28   0.288919 0.819941 
17 29   0.321726 0.657582 
18 0   0.903867 0.763665 
18 1   0.952269 0.642445 
18 2   0.263558 0.792474 
18 3   0.287027 0.914396 
18 4   0.243385 0.229835 
18 5   0.245491 0.817988 
18 6   0.577258 0.375958 
18 7   0.787103 0.309244 
18 8   0.752037 0.558489 
18 9   0.368603 0.0688803 
18 10   0.027253 0.308329 
18 11   0.525925 0.740715 
18 12   0.579546 0.660451 
18 13   0.581286 0.294748 
18 14   0.772179 0.579546 
18 15   0.475112 0.51561 
18 16   0.549577 0.510941 
18 17   0.723258 0.615802 
18 18   0.956969 0.0563677 
18 19   0.498825 0.973937 
18 20   0.784631 0.774712 
18 21   0.839381 0.998047 
18 22   0.337809 0.1077 
18 23   0.978851 0.113834 
18 24   0.330943 0.43086 
18 25   0.804559 0.878109 
18 26   0.907346 0.229225 
18 27   0.439405 0.216773 
18 28   0.783685 0.398053 
18 29   0.948759 0.788415 
19 0   0.519486 0.668691 
19 1   0.17246 0.472335 
19 2   0.911771 0.159307 
19 3   0.682028 0.982055 
19 4   0.514451 0.0507218 
19 5   0.862514 0.603351 
19 6   0.282998 0.387158 
19 7   0.119541 0.057741 
19 8   0.343852 0.0019837 
19 9   0.211554 0.490768 
19 10   0.889004 0.56859 
19 11   0.706565 0.585101 
19 12   0.195532 0.776025 
19 13   0.564287 0.798883 
19 14   0.770165 0.629994 
19 15   0.843318 0.729179 
19 16   0.618732 0.878384 
19 17   0.532884 0.600055 
19 18   0.640797 0.562243 
19 19   0.510178 0.875973 
19 20   0.149022 0.691519 
19 21   0.62215 0.999939 
19 22   0.513932 0.0456862 
19 23   0.892666 0.256996 
19 24   0.933287 0.099826 
19 25   0.854488 0.762322 
19 26   0.326548 0.0751061 
19 27   0.00625629 0.574602 
19 28   0.354686 0.11475 
19 29   0.394757 0.934294 
20 0   0.564379 0.584765 
20 1   0.321604 0.626789 
20 2   0.657826 0.499619 
20 3   0.175542 0.470992 
20 4   0.88702 0.0732749 
20 5   0.389386 0.932279 
20 6   0.573504 0.394696 
20 7   0.521958 0.860958 
20 8   0.752831 0.228828 
20 9   0.465346 0.355449 
20 10   0.943968 0.942259 
20 11   0.776666 0.750725 
20 12   0.0440382 0.554033 
20 13   0.135319 0.731437 
20 14   0.347697 0.911466 
20 15   0.924955 0.570208 
20 16   0.691763 0.990905 
20 17   0.940306 0.491043 
20 18   0.724601 0.323466 
20 19   0.219581 0.157414 
20 20   0.300851 0.545946 
20 21   0.00122074 0.285775 
20 22   0.000793481 0.0763878 
20 23   0.806055 0.383618 
20 24   0.775018 0.915128 
20 25   0.644215 0.612903 
20 26   0.713828 0.570269 
20 27   0.347331 0.778283 
20 28   0.941862 0.108798 
20 29   0.0253914 0.440321 
21 0   0.637501 0.332133 
21 1   0.648976 0.153966 
21 2   0.177648 0.0769066 
21 3   0.756035 0.83166 
21 4   0.406995 0.640919 
21 5   0.284127 0.231635 
21 6   0.0326853 0.33372 
21 7   0.527421 0.571245 
21 8   0.143803 0.152532 
21 9   0.218574 0.265267 
21 10   0.855953 0.582995 
21 11   0.735954 0.789148 
21 12   0.0807215 0.524888 
21 13   0.43556 0.667196 
21 14   0.420331 0.342967 
21 15   0.108097 0.586047 
21 16   0.186926 0.0427564 
21 17   0.560991 0.632832 
21 18   0.547472 0.571337 
21 19   0.325419 0.658437 
21 20   0.792901 0.242958 
21 21   0.488357 0.765862 
21 22   0.732933 0.290139 
21 23   0.649556 0.92346 
21 24   0.2154 0.539201 
21 25   0.0036317 0.703177 
21 26   0.77102 0.211035 
21 27   0.547166 0.143895 
21 28   0.38258 0.847163 
21 29   0.410535 0.739799 
22 0   0.379894 0.360057 
22 1   0.315073 0.553392 
22 2   0.458937 0.209418 
22 3   0.155156 0.454054 
22 4   0.826594 0.702658 
22 5   0.70513 0.481124 
22 6   0.470199 0.420667 
22 7   0.451369 0.332377 
22 8   0.551927 0.768761 
22 9   0.549272 0.977142 
22 10   0.928495 0.652364 
22 11   0.905454 0.394513 
22 12   0.795557 0.277779 
22 13   0.384533 0.436964 
22 14   0.457289 0.0780053 
22 15   0.141362 0.818323 
22 16   0.220923 0.763573 
22 17   0.0779443 0.227088 
22 18   0.416334 0.498093 
22 19   0.425611 0.564867 
22 20   0.540422 0.199377 
22 21   0.451796 0.309519 
22 22   0.526749 0.964995 
22 23   0.292306 0.00344859 
22 24   0.14011 0.623035 
22 25   0.908261 0.867061 
22 26   0.495956 0.408032 
22 27   0.168065 0.536637 
22 28   0.705008 0.761681 
22 29   0.0546281 0.928129 
23 0   0.64272 0.258553 
23 1   0.997223 0.225013 
23 2   0.843867 0.657002 
23 3   0.32841 0.991943 
23 4   0.52208 0.0748009 
23 5   0.866482 0.41258 
23 6   0.714347 0.290078 
23 7   0.622059 0.653371 
23 8   0.550493 0.166967 
23 9   0.630329 0.35139 
23 10   0.647877 0.206488 
23 11   0.908109 0.227973 
23 12   0.630696 0.222266 
23 13   0.535691 0.826777 
23 14   0.774743 0.14127 
23 15   0.864193 0.377087 
23 16   0.776757 0.929777 
23 17   0.847194 0.78222 
23 18   0.649037 0.64388 
23 19   0.498062 0.732658 
23 20   0.739036 0.605548 
23 21   0.471908 0.944456 
23 22   0.873745 0.703238 
23 23   0.772546 0.522385 
23 24   0.629292 0.817652 
23 25   0.584552 0.448408 
23 26   0.725578 0.372692 
23 27   0.230445 0.194678 
23 28   0.545579 0.0110172 
23 29   0.252449 0.462172 
24 0   0.780145 0.395093 
24 1   0.61977 0.0436415 
24 2   0.197272 0.132633 
24 3   0.0604572 0.812128 
24 4   0.536851 0.827754 
24 5   0.51854 0.834071 
24 6   0.530076 0.256355 
24 7   0.736015 0.607746 
24 8   0.0439772 0.667348 
24 9   0.959899 0.426435 
24 10   0.351054 0.208014 
24 11   0.774163 0.866787 
24 12   0.523606 0.475082 
24 13   0.0569475 0.401959 
24 14   0.953551 0.190374 
24 15   0.0624714 0.140141 
24 16   0.996643 0.00161748 
24 17   0.628071 0.687582 
24 18   0.74221 0.408246 
24 19   0.50618 0.136998 
24 20   0.907743 0.812098 
24 21   0.821528 0.180883 
24 22   0.85815 0.693258 
24 23   0.652974 0.349681 
24 24   0.750542 0.910947 
24 25   0.740745 0.375195 
24 26   0.803644 0.129063 
24 27   0.318247 0.678762 
24 28   0.692404 0.367229 
24 29   0.069277 0.984558 
25 0   0.0673849 0.676351 
25 1   0.209906 0.0578936 
25 2   0.19953 0.939451 
25 3   0.695669 0.568651 
25 4   0.749443 0.797571 
25 5   0.553453 0.0791345 
25 6   0.662038 0.70043 
25 7   0.338572 0.157903 
25 8   0.186071 0.0822474 
25 9   0.716941 0.617603 
25 10   0.0187078 0.662557 
25 11   0.171758 0.878506 
25 12   0.574969 0.871883 
25 13   0.835994 0.456618 
25 14   0.382305 0.402661 
25 15   0.449019 0.577197 
25 16   0.600116 0.884884 
25 17   0.438887 0.912778 
25 18   0.664327 0.687002 
25 19   0.129246 0.446577 
25 20   0.0568255 0.841609 
25 21   0.0714133 0.460829 
25 22   0.20014 0.0962554 
25 23   0.501419 0.649892 
25 24   0.476791 0.0893277 
25 25   0.921995 0.358715 
25 26   0.373943 0.650685 
25 27   0.809595 0.946074 
25 28   0.752922 0.227424 
25 29   0.446516 0.272652 
26 0   0.243721 0.434828 
26 1   0.877865 0.314707 
26 2   0.76455 0.732047 
26 3   0.993591 0.902005 
26 4   0.166326 0.222816 
26 5   0.735466 0.581194 
26 6   0.00228889 0.581378 
26 7   0.429273 0.604297 
26 8   0.422468 0.103153 
26 9   0.241646 0.0415967 
26 10   0.193152 0.880581 
26 11   0.762322 0.0203253 
26 12   0.841609 0.103824 
26 13   0.710837 0.0876492 
26 14   0.925413 0.486709 
26 15   0.768975 0.699118 
26 16   0.427046 0.817316 
26 17   0.537431 0.831812 
26 18   0.273598 0.633839 
26 19   0.618091 0.7228 
26 20   0.981017 0.0254219 
26 21   0.820948 0.732261 
26 22   0.42375 0.557909 
26 23   0.496109 0.331797 
26 24   0.729423 0.324564 
26 25   0.990967 0.217811 
26 26   0.298105 0.121921 
26 27   0.232032 0.549669 
26 28   0.947111 0.750542 
26 29   0.432173 0.313059 
27 0   0.180242 0.440779 
27 1   0.922483 0.808252 
27 2   0.58269 0.403577 
27 3   0.109317 0.263283 
27 4   0.340159 0.506272 
27 5   0.556566 0.572497 
27 6   0.883694 0.073336 
27 7   0.192267 0.159459 
27 8   0.659047 0.81225 
27 9   0.641072 0.965636 
27 10   0.0213019 0.864071 
27 11   0.680929 0.56328 
27 12   0.254494 0.979461 
27 13   0.825312 0.394024 
27 14   0.715812 0.81933 
27 15   0.0302133 0.132054 
27 16   0.105411 0.380627 
27 17   0.52617 0.172308 
27 18   0.861019 0.547166 
27 19   0.775262 0.243934 
27 20   0.677114 0.765374 
27 21   0.553148 0.14832 
27 22   0.149754 0.845119 
27 23   0.156163 0.622669 
27 24   0.546068 0.885372 
27 25   0.733299 0.328013 
27 26   0.69863 0.325144 
27 27   0.743217 0.962767 
27 28   0.0252083 0.119144 
27 29   0.536241 0.500656 
28 0   0.673116 0.038667 
28 1   0.0616169 0.554399 
28 2   0.788781 0.0972625 
28 3   0.69924 0.863643 
28 4   0.912412 0.101566 
28 5   0.216803 0.908475 
28 6   0.49733 0.327158 
28 7   0.852016 0.647572 
28 8   0.554643 0.319193 
28 9   0.519242 0.381573 
28 10   0.422712 0.818323 
28 11   0.141942 0.741295 
28 12   0.661733 0.811304 
28 13   0.109439 0.80105 
28 14   0.0731529 0.707053 
28 15   0.859035 0.316843 
28 16   0.844417 0.637135 
28 17   0.583026 0.089816 
28 18   0.818232 0.881741 
28 19   0.0607318 0.454421 
28 20   0.887295 0.420362 
28 21   0.61565 0.89169 
28 22   0.513718 0.607654 
28 23   0.197241 0.76751 
28 24   0.373699 0.974151 
28 25   0.588122 0.195959 
28 26   0.126865 0.152043 
28 27   0.736167 0.0276498 
28 28   0.310953 0.926084 
28 29   0.21128 0.962859 
29 0   0.361217 0.409131 
29 1   0.787774 0.789819 
29 2   0.755119 0.343181 
29 3   0.151036 0.748131 
29 4   0.281594 0.52504 
29 5   0.729911 0.0169378 
29 6   0.435987 0.357006 
29 7   0.653432 0.328318 
29 8   0.939207 0.522843 
29 9   0.833033 0.705344 
29 10   0.382366 0.788476 
29 11   0.169469 0.325632 
29 12   0.99649 0.927671 
29 13   0.885067 0.509445 
29 14   0.54677 0.772973 
29 15   0.980407 0.833033 
29 16   0.352306 0.39143 
29 17   0.816614 0.366863 
29 18   0.430555 0.385388 
29 19   0.822382 0.0390637 
29 20   0.766869 0.318186 
29 21   0.325846 0.123508 
29 22   0.708975 0.265023 
29 23   0.511765 0.853175 
29 24   0.486618 0.488784 
29 25   0.503464 0.158391 
29 26   0.856014 0.240669 
29 27   0.569933 0.53032 
29 28   0.869381 0.686117 
29 29   0.457778 0.00881985 
0 0   0.573492 0.267486 
0 1   0.573165 0.267826 
0 2   0.566958 0.260231 
0 3   0.535662 0.159581 
0 4   0.535589 0.159655 
0 5   0.53544 0.159195 
0 6   0.523906 0.138003 
0 7   0.420124 -0.0564186 
0 8   0.416873 -0.0576943 
0 9   0.455773 -0.0524237 
0 10   0.448025 -0.0764808 
0 11   0.738241 -0.634221 
0 12   0.738274 -0.633924 
0 13   0.738894 -0.644589 
0 14   0.753417 -0.624548 
0 15   0.753017 -0.624485 
0 16   0.791014 -0.688831 
0 17   0.797618 -0.692588 
0 18   0.797573 -0.692584 
0 19   0.805883 -0.395638 
